Player,Team,Progressive_Carries_per90,Successful_Take_ons_per90,Progressive_Passes_per90,Shot_Creating_Actions_per90
Lionel Messi,Inter Miami,5.8,2.4,7.1,6.2
Kylian Mbappe,PSG,8.0,3.1,3.5,5.0
Erling Haaland,Manchester City,2.2,0.8,0.9,3.0
Kevin De Bruyne,Manchester City,3.5,1.2,9.2,6.5
Martin Odegaard,Arsenal,3.0,1.3,7.0,5.3
Vinicius Junior,Real Madrid,7.2,4.2,3.0,5.8
Mohamed Salah,Liverpool,5.0,2.0,3.5,4.5
Bukayo Saka,Arsenal,4.5,2.5,4.0,5.0
Jude Bellingham,Real Madrid,3.8,1.8,4.5,4.7
Rodri,Manchester City,1.6,0.4,7.3,4.1
